image,mask,type,dataset
WildDash2/images/ae0000_100000.jpg,WildDash2/labels/ae0000_100000.png,train,wilddash
WildDash2/images/ae0001_100000.jpg,WildDash2/labels/ae0001_100000.png,train,wilddash
WildDash2/images/ae0002_100000.jpg,WildDash2/labels/ae0002_100000.png,train,wilddash
WildDash2/images/ae0003_100000.jpg,WildDash2/labels/ae0003_100000.png,train,wilddash
WildDash2/images/ae0004_100000.jpg,WildDash2/labels/ae0004_100000.png,train,wilddash
WildDash2/images/ae0005_100000.jpg,WildDash2/labels/ae0005_100000.png,train,wilddash
WildDash2/images/ae0006_100000.jpg,WildDash2/labels/ae0006_100000.png,train,wilddash
WildDash2/images/ae0007_100000.jpg,WildDash2/labels/ae0007_100000.png,train,wilddash
WildDash2/images/ae0008_100000.jpg,WildDash2/labels/ae0008_100000.png,train,wilddash
WildDash2/images/ae0009_100000.jpg,WildDash2/labels/ae0009_100000.png,train,wilddash
WildDash2/images/ae0010_100000.jpg,WildDash2/labels/ae0010_100000.png,train,wilddash
WildDash2/images/ae0011_100000.jpg,WildDash2/labels/ae0011_100000.png,train,wilddash
WildDash2/images/ae0012_100000.jpg,WildDash2/labels/ae0012_100000.png,train,wilddash
WildDash2/images/ae0013_100000.jpg,WildDash2/labels/ae0013_100000.png,train,wilddash
WildDash2/images/ae0014_100000.jpg,WildDash2/labels/ae0014_100000.png,train,wilddash
WildDash2/images/ae0015_100000.jpg,WildDash2/labels/ae0015_100000.png,train,wilddash
WildDash2/images/ae0016_100000.jpg,WildDash2/labels/ae0016_100000.png,train,wilddash
WildDash2/images/ae0017_100000.jpg,WildDash2/labels/ae0017_100000.png,train,wilddash
WildDash2/images/ae0018_100000.jpg,WildDash2/labels/ae0018_100000.png,train,wilddash
WildDash2/images/ae0019_100000.jpg,WildDash2/labels/ae0019_100000.png,train,wilddash
WildDash2/images/ae0020_100000.jpg,WildDash2/labels/ae0020_100000.png,train,wilddash
WildDash2/images/ae0021_100000.jpg,WildDash2/labels/ae0021_100000.png,train,wilddash
WildDash2/images/ae0022_100000.jpg,WildDash2/labels/ae0022_100000.png,train,wilddash
WildDash2/images/ae0023_100000.jpg,WildDash2/labels/ae0023_100000.png,train,wilddash
WildDash2/images/ae0024_100000.jpg,WildDash2/labels/ae0024_100000.png,train,wilddash
WildDash2/images/ae0025_100000.jpg,WildDash2/labels/ae0025_100000.png,train,wilddash
WildDash2/images/ae0026_100000.jpg,WildDash2/labels/ae0026_100000.png,train,wilddash
WildDash2/images/ag0000_100000.jpg,WildDash2/labels/ag0000_100000.png,train,wilddash
WildDash2/images/ag0001_100000.jpg,WildDash2/labels/ag0001_100000.png,train,wilddash
WildDash2/images/ag0002_100000.jpg,WildDash2/labels/ag0002_100000.png,train,wilddash
WildDash2/images/ag0003_100000.jpg,WildDash2/labels/ag0003_100000.png,train,wilddash
